timestamp,rating,comment,interests,selected_place,budget,time,province,hg_pref
2026-06-11T15:55:53.331Z,5,"The Leaflet dark map and personalized suggestions are amazing!","nature;wildlife","Karisoke Research Centre","medium","any","any","both"
2026-06-11T16:25:31.836Z,5,"","","Inzora Rooftop Café","low","1-2 hours","kigali city","hidden gems"
